Additive,Type,Regulatory Status,Uses,CFR,,,,
Albendazole,VET,REG,Veterinary drug,"520.45a, 520.45b, 556.34",,,,
"Alcohol, Denatured Formula 23A",MISC,REG,Diluent,73.1,,,,
"Alcohol, SDA-3A",MISC,REG,Diluent,73.1,,,,
Alcohols/Phosphate Esters of Same Mixture,MISC,REG,Lye-peeling solution,173.315,,,,
"Alfalfa, Extract",GRAS,GRAS,,182.2,,,,
Alfalfa herb and seed,SP/ESO,GRAS,"Spice, essential oil",182.1,,,,
"Algae, brown (kelp), or red",NAT,"GRAS, REG",Natural substance,"184.1120, 184.1121, 172.365",,,,
Ammonium alginate,MISC,REG,Boiler water additive,173.31,,,,
Calcium alginate,GRAS,GRAS,,184.1187,,,,
Potassium alginate,GRAS,GRAS,,184.161,,,,
Sodium alginate,"GRAS, REG","GRAS, boiler water additive",,"184.1724, 173.310",,,,
Alginic acid,GRAS,GRAS,,184.1011,,,,
Algin,STAB,GRAS/FS,Stabilizer,"133, 135, 150",,,,
Alkanomide produced by condensation of coconut oil fatty acids and diethanolamine,MISC,REG,Delinting agent,173.322,,,,
n-Alkyl(C12-C18)benzyldimethylammonium chloride,SANI,REG,Sanitizing agent,178.101,,,,
n-Alkyl(C12-C14)dimethylethylbenzylammonium chloride,SANI,REG,Sanitizing agent,178.101,,,,
alpha-Alkyl-omega-hydroxypoly(oxyethylene),MISC,REG,Processing aid,"173.315, 173.322",,,,
Alkylene Oxide Adducts of Alkyl Alcohols,MISC,REG,Lye-peeling agent,173.315,,,,
Allspice,SP/ESO,GRAS,"Spice, essential oil","182.10, 182.20",,,,
Allspice oil and oleoresin,ESO,GRAS,Essential oil,182.2,,,,
"Almond, bitter",ESO,GRAS,Essential oil,182.2,,,,
Aloe,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Alpha-acetolactate decarboxylase,ENZ,REG,Enzyme,173.115,,,,
Alpha-amylase,ENZ,REG,Enzyme,172.892,,,,
Althea flowers or root (marshmallow root),FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Aluminum ammonium sulfate,B&N,GRAS,"Buffer, neutralizing agent",182.1127,,,,
Aluminum calcium silicate,AC,GRAS/FS,Anticaking agent,182.2122,,,,
Aluminum nicotinate,DS,REG,Dietary supplement,172.31,,,,
Aluminum potassium sulfate,B&N,GRAS,"Buffer, neutralizing agent",,,,,
Aluminum salts of fatty acids,MISC,REG,"Binder, emulsifier, anticaking agent",172.863,,,,
Aluminum sodium sulfate,B&N,GRAS,"Buffer, neutralizing agent",,,,,
Aluminum stearate,AF,REG,Antifoaming agent,173.34,,,,
Aluminum sulfate,MISC,"GRAS, REG",Processing aid,"582, 172.892, 582.1125",,,,
Ambergris,MISC,GRAS,,,,,,
Ambrette (seed),SP/ESO,GRAS,"Spice, essential oil","182.10, 182.20",,,,
Amino Acids,NUTR,REG,Nutrient,172.32,,,,
p-Aminobenzoic acid,MISC,GRAS,,,,,,
Aminoglycoside 3'-phosphotransferase II,MISC,REG,Enzyme,173.17,,,,
Aminopeptidase from Lactococcus lactis,MISC,GRAS,Enzyme,"184, 1985",,,,
Ammoniated cottonseed meal,FEED,REG,Feed additive,573.14,,,,
"Ammoniated glycyrrhizin, licorice, or glycyrrhiza",MISC,FS,,,,,,
Ammoniated rice hulls,FEED,REG,Feed additive,573.16,,,,
Ammonium alginate,"STAB, BC","GRAS, REG","Stabilizer, boiler water additive","184.1135, 173.310",,,,
Ammonium bicarbonate,B&N,GRAS/FS,"Buffer, neutralizing agent","163, 582, 184.1135",,,,
Ammonium carbonate,B&N,GRAS/FS,"Buffer, neutralizing agent","163, 582, 184.1137",,,,
Ammonium caseinate,MISC,FS,,136,,,,
Ammonium chloride,MISC,FS/GRAS,,"136, 184.1138",,,,
Ammonium hydroxide,B&N,GRAS/FS,"Buffer, neutralizing agent","163, 582, 184.1137, 184.1139",,,,
Ammonium persulfate,MISC,REG,Modifier for food starch,172.892,,,,
Ammonium phosphate (mono- and dibasic),B&N,GRAS/FS,"Buffer, neutralizing agent","136, 582, 184.1139, 184.1141, 184.1141a, 184.1141b",,,,
Ammonium saccharin,NNS,See Saccharin,,,,,,
Ammonium sulfate,MISC,GRAS,,184.1143,,,,
Amoxicillin,VET,REG,Veterinary drug,556.38,,,,
Ampicillin,VET,REG,Veterinary drug,556.4,,,,
Amprolium,FEED/VET,REG,"Feed additive, veterinary drug","556.50, 556.60, 520.100, 558.55, 558.58, 558.60, 558.62, 558.76, 558.78, 558.128, 558.248, 558.274, 558.460, 558.530",,,,
Amylase from Aspercillgus Oryzae,ENZ,REG,Enzyme,"137.105, 137.155, 137.160, 137.165, 137.170, 137.175, 137.180, 137.185, 137.200, 137.205",,,,
Amyloglucosidase Enzyme Product,ENZ,REG,Enzyme,173.11,,,,
Amyris,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
"Angelica (root, stem, seed)",SP/ESO,GRAS,"Spice, essential oil","182.10, 182.20",,,,
Angola weed,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Angostura (cusparia bark),ESO/SP,GRAS,"Essential oil, spice","182.10, 182.20",,,,
Anhydrous ammonia,FEED,REG,Feed additive,573.18,,,,
"Animal protein hydrolysate, cond",FEED,REG,Feed additive,573.2,,,,
"Anise, Star Anise",SP/ESO,GRAS,"Spice, essential oil",,,,,
Anoxomer,AOX,REG,Antioxidant,172.105,,,,
Antibiotics for growth promotion and feed efficiency,FEED,REG,Feed additive,"See Bacitracin Methylene Disalicylate; See Bacitracin Zinc, Bambermycins, Chlortetracycline, Erythromycin thiocyanate, Lincomycin, Monensin, Oleandomycin, Oxytetracycline, Tylosin, Virginiamycin;",,,,
"Anthracite Coal, Sulfonated",MISC,REG,Ion exchange resin,173.25,,,,
Apramycin,REG,REG,Veterinary drug,"556.52, 520.110",,,,
Apricot kernel (persic oil),NAT,GRAS,,,,,,
Arabinogalactan,EMUL,REG,Emulsifier,"172.610, 172.230",,,,
Arginine (L form only),NUTR/DS,REG,"Nutrient, dietary supplement",172.32,,,,
Arnica flower extract,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Arsanilic acid,FEED,REG,Feed additive,"558.55, 558.58, 558.62, 558.248, 558.680",,,,
Arsenic,FEED,REG,Feed additive,556.6,,,,
Artemisia,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Artichoke leaves,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Asafoetida,ESO,GRAS,Essential oil,182.2,,,,
Ascorbic acid,"PRES, DS, NUTR",GRAS,"Preservative, dietary supplement, nutrient","182.3013, 182.5013, 182.8013, 137, 150.141, 150.161, 155.200",,,,
Ascorbyl palmitate,GRAS,GRAS,Preservative,182.3149,,,,
Asparagine (L-form),NUTR/DS,REG,"Nutrient, dietary supplement",172.32,,,,
Aspartame,NUTRS,REG,Nutritive sweetener,172.804,,,,
Aspartic acid (L-form),NUTR/DS,REG,"Nutrient, dietary supplement",172.32,,,,
Aspergillus Niger,MISC,REG,Microorganism,173.28,,,,
Azaperone,VET,REG,Veterinary drug,522.15,,,,
Azodicarbonamide,BL,REG/FS,Bleaching agent,"137, 172.806",,,,
"Bacitracin, manganese bacitracin, zinc bacitracin, Bacitracin methylene disalicylate",FEED/VET,REG,"Feed additive, veterinary drug","556.70, 558.55, 558.58, 558.62, 558.76, 558.78, 558.274, 558.430, 558.460, 558.530, 558.680",,,,
"Bacteria (harmless, lactic acid producing; propionic acid producing)",MISC,FS,,"133, 166",,,,
Bacterial Catalase,"See Catalase, Bacterial",,,,,,,
Bakers Yeast Glycan,EMUL/STAB,REG,"Emulsifier, stabilizer","169.150, 172.898",,,,
Bakers Yeast Protein (Saccharomyces Cerevisiae),NUTR,REG,Nutrient,172.325,,,,
Balm (lemon balm),SP/ESO,GRAS,"Spice, essential oil","182.10, 182.20",,,,
Balsam of Peru,ESO,GRAS,Essential oil,182.2,,,,
Bambermycins,FEED,REG,Feed additive,558.95,,,,
Basil,ESO,GRAS,Essential oil,182.2,,,,
Basil (bush and sweet),SP,GRAS,Spice,182.1,,,,
"Bay, Bay leaves",SP/ESO,GRAS,"Spice, essential oil","182.10, 182.20",,,,
"Bay, (Myrcia Oil)",ESO,GRAS,Essential oil,182.2,,,,
"Beeswax (bleached, white wax)",MISC,GRAS,,,,,,
Beeswax (yellow wax),MISC,GRAS,,184.1973,,,,
"Beeswax, white (cire d'abeille)",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Bentonite,FEED,GRAS,Feed additive,582.1155,,,,
Benzathine cloxacillin,VET,REG,Veterinary drug,"556.115, 526.363",,,,
Benzene,MISC,REG,Solvent,172.56,,,,
Benzoic Acid,PRES,GRAS,Preservative,,,,,
Benzoin Resin,FL/ADJ,REG,Flavoring adjuvant,"172.510, 73.1",,,,
Benzophenone,,,,,,,,
Benzoyl Peroxide,BL,FS,Bleaching agent,"137, 133",,,,
Bergamot (bergamot orange),ESO,GRAS,Essential oil,182.2,,,,
Beta-carotene,NUTR,GRAS,Nutrient,184.1245,,,,
BHA (butylated hydroxyanisole),AOX/FS,"GRAS, REG",Antioxidant,"166, 172.110, 172.615, 173.340, 526.820",,,,
BHT (butylated hydroxytoluene),AOX,"GRAS, FS, REG",Antioxidant,"166, 137.350, 172.115, 172.615, 173.340, 526.820",,,,
Bicarbonate of soda,B&N,GRAS/FS,"Buffer, neutralizing agent",137.27,,,,
Bile salts & Ox Bile Extract,SDA,GRAS,Solubilizing and dispersing agent,184.456,,,,
"Bioflavonoids, citrus",DS,ILL,Dietary supplement,,,,,
Biotin,NUTR/DS,GRAS,"Nutrient, dietary supplement","182.5159, 182.8159",,,,
Bitter almond,ESO,GRAS,Essential oil,182.2,,,,
"Biuret, feed grade",NUTR,REG,Nutrient,573.22,,,,
Blackberry bark extract,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Boiler water additives,BC,REG,Boiler water additive,173.31,,,,
Hydrazine,BC,REG,Boiler water additive,,,,,
Acrylamide-sodium acrylate resin,BC,REG,Boiler water additive,,,,,
Cyclohexylamine or Morpholine,BC,REG,Boiler water additive,,,,,
Octadecylamine,BC,REG,Boiler water additive,,,,,
Diethylaminoethenol,BC,REG,Boiler water additive,,,,,
Trisodium nitrilotriacetate,BC,REG,Boiler water additive,,,,,
Polymaleic acid and/or its sodium salt,BC,REG,Boiler water additive,,,,,
"Sorbitol anhydride esters (a mixture of sorbitan monostearate, polyoxyethylene (20) sorbitan mono stearate (polysorbate 60) and polyoxyethylene (20) sorbitan monolaurate (polysorbate 20))",BC,REG,Boiler water additive,,,,,
Bois de rose,ESO,GRAS,Essential oil,182.2,,,,
Boldus leaves,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Borax,MISC,ILL,,,,,,
Boron,MISC,REG,,172.56,,,,
Boronia flowers,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Bromelin or Bromelain (spelling optional),"MISC, ENZ","MIA, REG",Enzyme,136,,,,
Bryonia root,FLA/ADJ,REG,Flavoring adjuvant,172.51,,,,
Bucha leaves oil,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Buckbeen leaves,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Buquinolate,FEED,REG,Feed additive,"556.90, 558.62, 558.530, 558.105",,,,
Butadiene styrene rubber,MISC,REG,,172.615,,,,
"Butane, n-butane, isobutane",MISC,GRAS,,184.1165,,,,
Butoxy monoether of mixed (ethylene-propylene) polyalkylene glycol,SANI,REG,Sanitizing agent,178.101,,,,
n-Butoxypolyoxyethylene polyoxypropylene glycol,AF,REG,Antifoaming agent,173.34,,,,
Butter Starter distillate,"FLAV, FL/ADJ",GRAS,"Flavoring agent, flavoring adjuvant",184.1848,,,,
Butyl acetate,,,,,,,,
Butyl Alcohol,MISC,REG,Solvent,"73.1, 172.560",,,,
"1,3-Butylene glycol",SOLV,REG,Solvent,"173.220, 573.225, 172.712",,,,
Tert-Butylhydroquinone,AOX,REG,Antioxidant,See TBHQ,,,,
Butyl rubber,MISC,REG,,172.615,,,,
Butyl stearate,AF,REG,Antifoaming agent,173.34,,,,
Cacao,ESO,GRAS,Essential oil,182.2,,,,
Cadmium sulfide,COLOR,ILL,Colorant,,,,,
Caffeine,MISC,GRAS,,,,,,
Cajeput,FL/ADJ,REG,Flavoring adjuvant,,,,,
"Calamus, root, oil or extract",FLAV,ILL,Flavoring agent,,,,,
Calcium acetate,SEQ,GRAS,Sequestrant,184.1185,,,,
Calcium alginate,STAB,GRAS,Stabilizer,184.1187,,,,
Calcium ascorbate,PRES,GRAS,Preservative,182.3189,,,,
Calcium bromate,BL,FS,Bleaching agent,136,,,,
Calcium bromide,SANI,REG,Sanitizing agent,178.101,,,,
Calcium carbonate,"MISC, EMUL, DS/NUTR","GRAS/FS, REG","Miscellaneous, emulsifier, dietary supplement, nutrient","137, 136, 135, 582, 184.1191, 169.115, 182.5191, 182.8191",,,,
Calcium caseinate,MISC,FS,,"135, 133",,,,
Calcium chloride,"MISC, VET","GRAS/FS, REG","Miscellaneous, veterinary drug","184.1193, 131, 133, 150, 155, 156, 526.820",,,,
Calcium citrate,"MISC, DS/NUTR",GRAS/FS,"Miscellaneous, dietary supplement, nutrient","133, 150, 155, 156, 31, 582, 182.5195, 182.8195",,,,
Calcium cyclamate,NNS,ILL,Non-nutritive sweetener,,,,,
Calcium diacetate,SEQ,GRAS,Sequestrant,See calcium acetate,,,,
Calcium dioxide (Ca peroxide),MISC,FS,,136,,,,
Calcium disodium ethylenediamine-tetraacetate [(calcium ethylenedinitrilo) tetraacetate]; calcium disodium EDTA,"AF, MISC, PRES",REG,"Antifoaming agent, miscellaneous, preservative","172.120, 172.615, 166",,,,
Calcium gluconate,MISC,GRAS/FS,Miscellaneous,"184.1199, 150, 582",,,,
Calcium glycerophosphate,NUTR/DS,GRAS,"Nutrient, dietary supplement","182.8201, 182.5201",,,,
Calcium hexametaphosphate,SEQ,GRAS,Sequestrant,,,,,
Calcium hydroxide,MISC/B&N,GRAS/FS,"Miscellaneous, buffer, neutralizing agent","155, 135, 582, 184.1205",,,,
Calcium hypochlorite,"SANI, MISC",REG,"Sanitizing agent, miscellaneous","178.1010, 172.892",,,,
Calcium iodate,"MISC, NUTR","FS, GRAS","Miscellaneous, nutrient","136, 184.1206",,,,
Calcium iodobehenate,DS,GRAS,Dietary supplement,582.8,,,,
Calcium lactate,MISC,GRAS/FS,Miscellaneous,"136, 150, 155, 582, 184.1207",,,,
Calcium lactobionate,MISC,REG,Firming agent,172.72,,,,
Calcium lignin sulfonate (and/or sodium salt),FEED,REG,Feed additive,573.6,,,,
Calcium lignosulfonate,SP/ADJ,REG,Spray adjuvant,172.715,,,,
Calcium orthophosphate,B&N,GRAS/FS,"Buffer, neutralizing agent",See calcium phosphate (tribasic),,,,
Calcium oxide,"MISC, DS/NUTR",GRAS/FS,"Miscellaneous, dietary supplement, nutrient","135, 582, 182.5210, 182.8210, 184.1210",,,,
Calcium pantothenate,NUTR/DS,GRAS,"Nutrient, dietary supplement","182.5212, 184.1212",,,,
Calcium pantothenate (calcium chloride double salt of) d- or dl-form,DS,REG,Dietary supplement,172.33,,,,
Calcium periodate,FEED,REG,Feed additive,573.24,,,,
Calcium peroxide (Same as calcium dioxide),MISC,FS,,136,,,,
Calcium phosphate (mono-),MISC,GRAS/FS,Miscellaneous,"150, 155, 136, 582",,,,
"Calcium phosphate (mono-, di-)",NUTR/MISC,GRAS/FS,"Nutrient, miscellaneous",137,,,,
"Calcium phosphate (mono-, di, or tribasic)","MISC, DS/NUTR",GRAS/FS,"Miscellaneous, dietary supplement, nutrient","150, 136, 182.5217, 182.8217",,,,
Calcium propionate,PRES,GRAS/FS,Preservative,"184.1221, 184.1784",,,,
Calcium pyrophosphate,NUTR/DS,GRAS,"Nutrient, dietary supplement","182.5223, 182.8223",,,,
Calcium saccharin,NNS,INTERIM,Non-nutritive sweetener,See Saccharin,,,,
Calcium salt of partially dimerized rosin,CTG,REG,Component or coating for fruits & vegetables,172.21,,,,
Calcium salts,MISC,FS,Miscellaneous,"155.190(k), 155.200, 136",,,,
Calcium salts of fatty acids,MISC,REG,"Binder, emulsifier, anticaking agent",172.863,,,,
Calcium silicate (including synthetic),AC,"FS, REG",Anticaking agent,"169.179, 172.410, 573.260",,,,
Calcium sorbate,PRES,GRAS,Preservative,182.3225,,,,
Calcium stearate,"AC, AF, MISC","REG/FS, REG, GRAS","Anticaking agent, antifoaming agent, miscellaneous","169.179, 173.340, 184.1229",,,,
"Calcium stearate, feed grade",FEED,REG,Feed additive,573.28,,,,
Calcium stearoyl-2-lactylate,MISC,REG/FS,Miscellaneous,"136, 172.844",,,,
Calcium sulfate,MISC,GRAS/FS,Miscellaneous,"133, 137, 136, 135, 150, 155, 156, 184.1230",,,,
Calendula,SP,GRAS,Spice,182.1,,,,
Calumba root,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
"Camomile, camomile flowers English, Roman, German, Hungarian",SP/ESO,GRAS,"Spice, essential oil","182.10, 182.20",,,,
Camphor tree,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Cananga,ESO,GRAS,Essential oil,182.2,,,,
"Catalase, Bacterial (derived from Micrococcus lysodeikticus)",ENZ,REG/FS,Enzyme,"173.135, 133.113",,,,
"Catechu, black",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Cayenne pepper,SP,GRAS,Spice,182.1,,,,
"Cedar, White (arborvitae) leaves and twigs",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Ceftiofur,VET,REG,Veterinary drug,"522.313, 556.113",,,,
Celery seed,SP/ESO,GRAS,"Spice, essential oil","182.10, 182.20",,,,
Cellulase enzyme derived from Aspergillus niger,ENZ,REG,Enzyme,173.12,,,,
Cellulose gum,STAB,GRAS/FS,Stabilizer,See Sodium Carboxymethylcellulose,,,,
Cellulose triacetate,MISC,GMP,Fixing agent,173.357,,,,
Centaury (centrurium) herb,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
"Cephapirin, sodium",VET,REG,Veterinary drug,"556.115, 529.365",,,,
Cephapirin benzathine,VET,REG,Veterinary drug,"556.115, 526.363",,,,
"Cetyl Alcohol, synthetic",MISC,REG,Miscellaneous,172.864,,,,
Cetylpyridinium chloride,REG,,Antimicrobial agent,173.375,,,,
Chamomile Flower,SP,REG,Spice,182.1,,,,
"Chamomile Flower, English, Oil",ESO,REG,Essential oil,182.2,,,,
Chemicals for controlling micro-organisms in cane sugar and beet sugar mills,REG,REG,,173.32,,,,
Chemicals used in delinting cottonseed,MISC,REG,,173.322,,,,
"Chemicals used in washing fruits & vegs. or to assist in peeling fruits and vegs. Polyacrylamide, Potassium bromide, Sodium dodecylbenzenesulfonate, Sodium hypochlorite, sodium 2-ethyl-l- hexylsulfate, sodium n-alkylbenzene sulfonate, sodium mono- and dimethyl- naphthalene sulfonates- mol wt 245-260, Alkylene oxide adducts of alkyl alcohols and phosphate esters of alkylene oxides. Adducts of alkyl alcohols mixtures",MISC,REG,Miscellaneous,173.315,,,,
Cherry-laurel leaves,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Cherry-laurel water,FL/ADJ,,,172.51,,,,
"Cherry, pits, extract",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
"Cherry, wild, bark",ESO,GRAS,Essential oil,182.2,,,,
Chervil,ESO/SP/FLAV,GRAS,"Essential oil, spice, flavoring agent",182.1,,,,
Chervil extract,ESO,GRAS,Essential oil,182.2,,,,
Chestnut leaves/extract,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Chewing gum base,MISC,REG,Miscellaneous,172.615,,,,
Chicle,MISC,REG,,172.615,,,,
Chicory,ESO,GRAS,Essential oil,182.2,,,,
Chilte,MISC,REG,,172.615,,,,
Chilquibul,MISC,REG,,172.615,,,,
"Chirata (Chiretta, East Indian Bolonong) & herb extract",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Chives,SP,GRAS,Spice,182.1,,,,
Chloramphenicol,VET,REG,Veterinary drug,,,,,
Chlorhexidine dihydrochloride,VET,REG,Veterinary drug,556.12,,,,
Chlorine & chlorine dioxide,BL,FS,Bleaching agent,137,,,,
Chlorine dioxide,MISC,REG,Antimicrobial agent,173.3,,,,
"Chlorine dioxide, stabilized",SANI,REG,Sanitizing agent,178.101,,,,
Chlorobutanol,VET,REG,Veterinary drug,"526.820, 556.140",,,,
Chlorofluorocarbon-113,MISC,REG,,173.342,,,,
Chloromethylated aminated styrene di-vinylbenzene resin,MISC,REG,,173.7,,,,
2-Chloro-4-nitrobenzamide,FEED,REG,Feed additive,See Aklomide,,,,
"Chloropentafluoroethane alone or comb/w carbon dioxide nitrous oxide, propane, or octafluorocyclobutane",MISC,REG,"Propellant, aerating agent",173.345,,,,
Clorsulon,VET,REG,Veterinary drug,"520.462, 556.163",,,,
Chlortetracycline,FEED/VET,REG,"Feed additive, veterinary drug","556.150, 558.55, 558.58, 558.105, 558.128, 558.175, 558.274, 558.368, 558.430, 558.530, 558.680",,,,
Chlortetracycline,FEED,REG,Feed additive,"556.690, 556.670, 558.155, 558.145",,,,
Choline bitartrate,NUTR/DS,GRAS,"Nutrient, dietary supplement","182.5250, 182.8250",,,,
Choline chloride,NUTR/DS,GRAS,"Nutrient, dietary supplement","182.5252, 182.8252",,,,
Choline xanthate,FEED,REG,Feed additive,573.3,,,,
Chymosin enzyme preparation derived from E. Coli K­12,ENZ,GRAS,Enzyme,184.1685,,,,
"Cinchona bark, red or yellow",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
"Cinnamon & bark & leaf, Ceylon, Chinese, and Saigon",O/SP,GRAS,"Oil, spice","182.10, 182.20",,,,
Cinnamyl anthranilate,SYL/FL,BAN,Synthetic flavoring agent,189.113,,,,
Cinnamyl formate,,,,,,,,
Cire d'abielle,FL/ADJ,REG,Flavoring adjuvant,"See Beeswax, white",,,,
Citric acid,SEQ/B&N,GRAS/FS,"Sequestrant, buffer, neutralizing agent","182.1033, 182.6033, 169, 133, 146, 166, 582.1033, 172.755, 173.165",,,,
Citronella,ESO,GRAS,Essential oil,182.2,,,,
Citrus bioflavonoids,DS,ILL,Dietary supplement,,,,,
Citrus peels,ESO,GRAS,Essential oil,182.2,,,,
"Civet (zibeth, zibet, zibetum)",ESO,GRAS,Essential oil,182.2,,,,
Clary (clary sage),SP/ESO,GRAS,"Spice, essential oil","182.10, 182.20",,,,
Clopidol,FEED,REG,Feed additive,"556.160, 558.175",,,,
Cloxacillin,VET,REG,Veterinary drug,"556.165, 526.363",,,,
"Clove, bud, leaf, and stem",ESO,GRAS,Essential oil,184.1257,,,,
Clover,SP/ESO,GRAS,"Spice, essential oil","182.10, 182.20",,,,
Cloves,SP,GRAS,Spice,184.1257,,,,
Coatings on fresh citrus fruits,CTG,REG,Component or coating for fruits & vegetables,172.21,,,,
"Cobalt (acetate, carbonate, chloride, oxide, sulfate)",NUTR,GRAS,Nutrient,582.8,,,,
Cobaltous salts (acetate),MISC,ILL,Miscellaneous,172.26,,,,
Coca (decocainized),ESO,GRAS,Essential oil,182.2,,,,
Cocoa butter substitute from palm oil,GRAS,GRAS,,184.1259,,,,
"Cocoa butter substitute from coconut oil, palm kernel oil or both",ESO,REG,,172.861,,,,
Cocoa with dioctyl sodium sulfosuccinate for manufacturing,FLV,REG,Flavoring agent,172.52,,,,
Coffee,ESO,GRAS,Essential oil,182.2,,,,
"Cognac oil, white and green",MISC,GRAS,Miscellaneous,182.5,,,,
Cola nut,ESO,GRAS,Essential oil,182.2,,,,
Colloidal Silicon dioxide,AC,REG,Anticaking agent,See Silicon dioxide,,,,
Combustion product gas,MISC,REG,,173.35,,,,
Condensed animal protein hydrolysate,FEED,REG,Feed additive,573.2,,,,
Copaiba,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
"Copals, Manila",MISC,REG,,73.1,,,,
Copolymer condensates of ethylene oxide and propylene oxide,STAB,REG,Stabilizer,172.808,,,,
"Copper (carbonate, chloride, gluconate, hydroxide, orthophosphate, oxide, pyrophosphate, sulfate)",NUTR,GRAS,Nutrient,582.8,,,,
Copper gluconate,NUTR/DS,GRAS,"Nutrient, dietary supplement","182.5260, 182.1260",,,,
Copper (cuprous) iodide,NUTR/DS,GRAS,"Nutrient, dietary supplement",184.1265,,,,
Copper sulfate,NUTR/SUPPL,GRAS,"Nutrient, supplement",184.1261,,,,
Coriander,SP/ESO,GRAS,"Spice, essential oil","182.10, 182.20",,,,
"Cork, oak",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Corn dextrin,NUTRS,GRAS,Nutritive sweetener,184.1277,,,,
Corn gluten,GRAS,GRAS,,184.1321,,,,
Corn silk,ESO,GRAS,Essential oil,182.2,,,,
Corn sugar,NUTRS,GRAS,Nutritive sweetener,184.1857,,,,
Corn syrup,NUTRS,GRAS,Nutritive sweetener,184.1865,,,,
"Corn Syrup, High Fructose",NUTRS,GRAS,Nutritive sweetener,182.1866,,,,
Costmary,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Costus root,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Cottonseed & soybean fatty acids,MISC,REG,Miscellaneous,172.86,,,,
Cottonseed flour (cooked and partially defatted),MISC,REG,Miscellaneous,172.894,,,,
Cottonseed Products (modified),MISC,REG,Miscellaneous,172.894,,,,
Coumaphos,FEED,REG,Feed additive,558.185,,,,
Coumarin,SY/FS,BAN,Synthetic flavoring agent,,,,,
Coumarone-indene resin,CTG,REG,Component or coating for fruits & vegetables,172.215,,,,
"Crambe meal, heat toasted",FEED,REG,Feed additive,573.31,,,,
Cubeb,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Cumin (cummin),SP/ESO,GRAS,"Spice, essential oil","182.10, 182.20",,,,
